Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
5033,-0.760200024,-3.223371029,-11.56036758
5067,6.226827145,29.26708794,-20.16322899
5100,8.248118401,36.6182785,-13.32071209
5133,9.865387917,5.54372263,-1.989736557
5167,13.6918478,-34.87412262,-0.127041519
5200,17.65492821,-38.98760605,-9.208459854
5233,14.93654823,-0.841342628,-18.5221386
5267,1.234966397,36.17158508,-18.09778023
5300,-16.85179901,29.53510475,-10.33513451
5333,-28.19015312,-8.518543243,-6.752973557
5367,-27.4303627,-24.75178337,-12.54831982
5400,-17.48639297,2.700246811,-21.31090546
5433,-6.415493965,35.5259285,-24.14157486
5467,1.634327531,33.58178329,-17.85209846
5500,9.4370327,7.956692219,-7.206327915
5533,18.76310921,-9.242884636,1.150032997
5567,24.5451889,-12.17959213,4.887717247
5600,21.25522232,-11.33579063,4.634146214
5633,13.31062031,-9.983822823,2.888862371
5667,9.955494881,-10.78152084,4.267570019
5700,12.45160484,-16.50597,12.54258251
5733,16.18083763,-15.91953182,21.58937263
5767,15.84448528,0.457144558,13.70685673
5800,3.074609518,13.21129227,-13.58504009
5833,-19.74189186,-0.046718489,-27.84012222
5867,-26.60484886,-19.05909538,-2.194232225
5900,2.637340784,-6.377893448,41.75905609
5933,44.68710709,28.89292908,65.11400604
5967,59.20278168,41.01268768,58.09137344
6000,41.25165939,18.84640312,34.86920547
6033,12.71603584,-3.305128336,8.252062798
6067,-6.895075321,-8.15913868,-17.20111275
6100,-3.610130548,-10.35900593,-33.89006424
6133,24.81955719,-11.14563847,-24.90197945
6167,59.09674454,4.506285191,15.38933849
6200,72.74688721,31.31122589,61.45643616
6233,62.32001114,42.23228455,74.64139557
6267,47.50419998,18.90889931,41.30375671
6300,40.53720474,-27.0026722,-8.674168587
6333,34.4527359,-53.97317505,-30.04634285
6367,20.46587372,-29.83611107,-12.79902267
6400,2.198945045,20.39364624,12.39771461
6433,-8.517518044,44.20941925,14.00509739
6467,-5.304597855,28.27472687,-8.830512047
6500,6.270010948,-4.901343346,-22.69033051
6533,16.16111565,-35.83779526,3.783173561
6567,18.20791626,-51.1200676,49.13187027
6600,11.0496397,-38.90010834,57.0186882
6633,-1.969041109,-4.08950758,14.89100742
6667,-13.75419044,26.71498489,-27.03607178
6700,-18.07964516,24.39770699,-26.2405262
6733,-11.27298737,-13.43197632,-0.476713061
