Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
8733,0.005646972,0.01615076,0.014821243,0.050455388
8767,0.004242052,0.029322622,0.021675682,0.058155295
8800,0.001624363,0.022970293,0.022561455,0.051738665
8833,-0.001293949,0.003712749,0.017935751,0.036409467
8867,-0.001481592,-0.007280158,0.011853789,0.019058881
8900,0.007766636,0.003798008,0.006791782,0.005119783
8933,0.031485468,0.021008778,-0.000742721,-0.00128873
8967,0.065637499,0.011736201,-0.017732905,-0.000590354
9000,0.095264703,-0.037903976,-0.045901962,-0.002436215
9033,0.101341993,-0.104560941,-0.075753301,-0.015448825
9067,0.077562876,-0.138115302,-0.090401456,-0.027845245
9100,0.040248942,-0.100981802,-0.07820148,-0.016372113
9133,0.012096171,-0.015602015,-0.044037722,0.016772496
9167,0.000201076,0.045555212,-0.006637859,0.03827437
9200,-0.002343446,0.040224265,0.018070219,0.026842313
9233,-0.001866817,0.005827045,0.030295942,0.001239002
9267,-0.000194496,0.007547664,0.040602781,-0.006043088
9300,-0.001129192,0.056756109,0.052490324,0.009033805
9333,-0.01310445,0.103566736,0.055386253,0.013020908
9367,-0.041454755,0.095152751,0.036194228,-0.031456087
9400,-0.076446332,0.024625394,-0.004041194,-0.117960252
9433,-0.093971901,-0.063594528,-0.046917912,-0.185735658
9467,-0.078549087,-0.109551422,-0.07133016,-0.175157264
9500,-0.042339064,-0.090186313,-0.070866674,-0.094538666
9533,-0.010653107,-0.040020563,-0.056639381,-0.010003674
9567,0.00370665,-0.013877105,-0.044867992,0.026697561
9600,0.00320634,-0.029169271,-0.042637251,0.015487288
9633,-0.005542881,-0.05781984,-0.045424748,-0.015744817
9667,-0.016602509,-0.07017345,-0.046389766,-0.042484295
9700,-0.024223762,-0.062046714,-0.043903828,-0.052842088
9733,-0.022618901,-0.043306161,-0.040320683,-0.044507362
9767,-0.009213506,-0.027218625,-0.038175486,-0.02067386
9800,0.006629267,-0.030815218,-0.037112903,0.009155488
9833,0.007477934,-0.059036631,-0.030814359,0.02970507
9867,-0.007074424,-0.081645295,-0.008855152,0.036124241
9900,-0.015603661,-0.053286549,0.03353462,0.045225155
9933,-0.00619609,0.029187296,0.084880255,0.067827307
9967,0.008312773,0.108360663,0.11880254,0.081141002
10000,0.011325971,0.117840946,0.113598622,0.05623351
10033,0.001172226,0.048706621,0.07327766,-0.000891316
10067,-0.011907268,-0.039773937,0.024108408,-0.054640852
10100,-0.017666513,-0.078758232,-0.00830841,-0.074932873
10133,-0.014106732,-0.051996797,-0.014652155,-0.061464105
10167,-0.0067044,0.002441597,-0.003904438,-0.039927505
10200,-0.001257947,0.034045026,0.0029603,-0.035005257
10233,0.000683101,0.01819725,-0.009511184,-0.048061032
10267,0.000580819,-0.029078577,-0.035298441,-0.061496291
10300,0.000254139,-0.063618846,-0.054668136,-0.059197135
10333,0.00071307,-0.053249069,-0.056718059,-0.04154091
10367,0.001787218,-0.015868377,-0.047917839,-0.022498226
10400,0.0016111,0.003648376,-0.0385231,-0.011543511
10433,-0.003554933,-0.000771046,-0.026473615,-0.001757884
10467,-0.016953576,0.009861373,0.000876045,0.02101171
10500,-0.035021804,0.058341689,0.051765628,0.061162516
10533,-0.04466857,0.125527948,0.11998643,0.106468603
10567,-0.035109695,0.185940728,0.185688093,0.132909924
10600,-0.012746803,0.224390864,0.22134617,0.118487224
10633,0.004495346,0.211598665,0.203681648,0.059929486
10667,0.006351551,0.116352074,0.13262929,-0.020865977
10700,-0.002481705,-0.03120546,0.039204024,-0.085243031
10733,-0.01060844,-0.13524799,-0.030451009,-0.098478116
10767,-0.011168182,-0.128141209,-0.041763209,-0.056800313
10800,-0.005381155,-0.03694782,0.005149841,0.007413518
10833,0.006437221,0.063114449,0.072833627,0.062394794
10867,0.034713343,0.126347631,0.115087211,0.109317176
10900,0.090296395,0.143379301,0.107562721,0.159289628
10933,0.164432272,0.105370037,0.049598116,0.196743563
10967,0.232892811,0.007099914,-0.04853439,0.196616769
11000,0.273704857,-0.119058028,-0.167111784,0.164026111
11033,0.268397391,-0.200847507,-0.268500686,0.12188486
11067,0.209649354,-0.181269258,-0.304232299,0.079470076
11100,0.121691138,-0.083070375,-0.251837522,0.043459188
11133,0.045851108,0.009756374,-0.14481096,0.022302318
11167,0.001818967,0.036600206,-0.048637386,0.002290373
