Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
2333,-5.85376762163154,-27.3877046811612,-27.3410741668162,-5.50127541555223
2367,-5.79056076186392,-27.0948543834835,-27.0107400184689,-5.15957524539554
2400,-5.71849916625431,-26.5747611817191,-26.5405479227397,-4.71964297827634
2433,-5.65341242618959,-25.9195732478471,-25.9410244591869,-4.23390450255489
2467,-5.60802814403139,-25.2384743992228,-25.265010088942,-3.75329333366994
2500,-5.58942756053729,-24.5405113031882,-24.5651350374134,-3.28888256396874
2533,-5.58079041716189,-23.8186080853491,-23.8820283439717,-2.83894338049878
2567,-5.5317441391397,-23.1439902970029,-23.2584946159901,-2.43815542546844
2600,-5.38757950276087,-22.6084031339324,-22.7330840888543,-2.13484897582265
2633,-5.14844413275533,-22.2316668778734,-22.3108592044181,-1.92079188948611
2667,-4.88899646277279,-21.9397905144407,-21.9481473737697,-1.72315521891787
2700,-4.69147839160893,-21.6122534949445,-21.5717127318927,-1.46052903226691
2733,-4.5765197687018,-21.174031972871,-21.1258259106144,-1.10561113637191
2767,-4.51497567551019,-20.6406676011929,-20.611176699324,-0.708245655662259
2800,-4.47624048728239,-20.0686137505148,-20.0771137244962,-0.347055409253612
2833,-4.45027870074572,-19.5248891774658,-19.584995017114,-0.0738523314692522
2867,-4.43061456079345,-19.1004692095973,-19.1852891906165,0.0935728561829215
2900,-4.37999454128381,-18.8372561133282,-18.907758813874,0.172600546990644
2933,-4.23315143076865,-18.6809182463146,-18.7578331201169,0.209622347568415
2967,-3.95324906015041,-18.6074484728325,-18.7301701571541,0.230387999498927
3000,-3.57726386282465,-18.6794833380955,-18.8180236361688,0.214086725569244
3033,-3.20023543306578,-18.9165912075306,-18.9957988192084,0.157026572641555
3067,-2.91634739050511,-19.2171813919765,-19.2064682250604,0.130668047504791
3100,-2.7575491096013,-19.4354916921399,-19.3851161702079,0.234634866104475
3133,-2.68649643032105,-19.515691129361,-19.4971399090774,0.497808435788191
3167,-2.65587641668433,-19.5240783873931,-19.5526287586402,0.837188919591725
3200,-2.65207804739365,-19.5449695950497,-19.5897637180605,1.11739045186554
3233,-2.67770352723119,-19.6310059750134,-19.6494018460646,1.24466399134048
3267,-2.72077487154322,-19.8215062337624,-19.7539900309205,1.21449984839435
3300,-2.74633017808561,-20.0665493792102,-19.8956512290965,1.09993681160793
3333,-2.7021753142816,-20.2257370782525,-20.0582871265475,0.983809290286176
3367,-2.53389988559274,-20.2873847617673,-20.2667811204065,0.870399098603186
3400,-2.22238543093642,-20.4483546496408,-20.5866259687704,0.682075682924088
3433,-1.82982565083331,-20.8927757106675,-21.0476056186365,0.373816646760666
3467,-1.48037725007914,-21.6131544696185,-21.5824260638981,0.0302197094538398
3500,-1.25908670889971,-22.3872814281916,-22.0514712558729,-0.18234980055353
3533,-1.15149717776585,-22.8454580925124,-22.3265159115758,-0.160757368442148
3567,-1.09890762714935,-22.7539813220686,-22.3774231159623,0.0357514863791102
3600,-1.07631564571416,-22.3320830617403,-22.3038953323786,0.217601392123202
3633,-1.09340412641217,-22.1015373284165,-22.2684428463802,0.207977115755388
3667,-1.14585803989471,-22.3483971387843,-22.3794529239881,-0.0259893736571815
3700,-1.20047742416196,-22.8924684918197,-22.6411138837942,-0.38708898419979
3733,-1.22608079040014,-23.4021530409098,-23.0018002998782,-0.770639553210497
3767,-1.21869987166841,-23.7551377531155,-23.4194918757495,-1.14510862396314
3800,-1.19952225797724,-24.0629497579736,-23.8828379425234,-1.54026492141387
3833,-1.19860028262407,-24.4915691547791,-24.3975389061326,-1.99520828354315
3867,-1.23327757015221,-25.136732605931,-24.960496995557,-2.51974455271292
3900,-1.29294590507653,-25.9619403670561,-25.5354818675673,-3.0747271090024
3933,-1.3489631322804,-26.7395714620406,-26.0530676073108,-3.57139664848047
3967,-1.38457321779384,-27.2014450925178,-26.4530915006825,-3.9339806801849
4000,-1.40896810686343,-27.3571807849749,-26.7345711237563,-4.18489023177885
4033,-1.43857638990616,-27.4680542151624,-26.9470498276451,-4.42419938002242
4067,-1.47327985597678,-27.6778355281347,-27.1315751617585,-4.71153520272868
4100,-1.50299944650513,-27.8867023372548,-27.2910742665671,-5.01039722401679
4133,-1.53972666784212,-27.9782048804371,-27.4226607165063,-5.26501695941588
4167,-1.63553417774824,-27.9962847370607,-27.5563175124591,-5.48696203103875
4200,-1.84698750658707,-28.0852317437289,-27.739080205107,-5.74282309427182
4233,-2.1542580613555,-28.3356943303541,-27.9848696928596,-6.07651035890616
4267,-2.4437676196151,-28.6991202025943,-28.2515900789213,-6.43880108979089
4300,-2.61163972810209,-29.0123438404782,-28.4610155948029,-6.69557804599328
4333,-2.65141360372215,-29.1187056871466,-28.5453406866866,-6.739583341904
4367,-2.62419987228991,-29.0099722356656,-28.4968594022621,-6.5883502440079
4400,-2.58808695986384,-28.8303202629662,-28.3768171352414,-6.36031190763704
4433,-2.56771544859127,-28.7319086116631,-28.2670783281668,-6.18552018206988
4467,-2.5624536575325,-28.7532536899856,-28.2109172411997,-6.12954429484752
4500,-2.56430575343256,-28.8184976393355,-28.1956311768886,-6.16666160155084
4533,-2.56748845537158,-28.8283101674077,-28.1792433254462,-6.22163258305973
4567,-2.5695544425353,-28.7404551064994,-28.1268603288771,-6.23885242295654
4600,-2.57005225947976,-28.579709541345,-28.0336021977782,-6.21934052043165
4633,-2.56979108082478,-28.4088796516781,-27.9292606418237,-6.20207924851813
4667,-2.57119291055139,-28.277959426107,-27.8619317764691,-6.22413369083718
4700,-2.57836997777113,-28.2017511954035,-27.8700983227824,-6.30757707206185
4733,-2.59408554422681,-28.2057528471123,-27.96501612798,-6.46329217726467
4767,-2.6151584448921,-28.3404382027295,-28.1289386663994,-6.68450830279462
4800,-2.63457163698893,-28.5961105914434,-28.3107103264081,-6.92509908306633
4833,-2.64790785946377,-28.837820026331,-28.4227893625548,-7.09888583784906
4867,-2.6506430489072,-28.8790810754836,-28.369551888966,-7.12218435546079
4900,-2.62901584276141,-28.6065895508505,-28.0979455336822,-6.93900015133013
4933,-2.56422548654556,-28.0485189688675,-27.6333917942745,-6.52985961973741
4967,-2.45594635825218,-27.373996166735,-27.0799034904239,-5.96742113572774
5000,-2.33634431952248,-26.7947068506792,-26.5774286880717,-5.43759826592733
5033,-2.24664940404412,-26.446533184922,-26.235686736469,-5.1210482313344
5067,-2.20159255616494,-26.3603271021186,-26.0862549560214,-5.04870136241412
5100,-2.18492849179719,-26.4584556460979,-26.0793397238995,-5.10426432914192
5133,-2.17438545109473,-26.5690641975887,-26.1221024639089,-5.14920679247921
5167,-2.16332971055514,-26.5524697458516,-26.1318175459671,-5.1231188093293
5200,-2.15836585922189,-26.4239136068851,-26.0639927101037,-5.04535898449814
5233,-2.16087203485307,-26.2757756620709,-25.8958015714915,-4.95113728574982
5267,-2.15368852178021,-26.0896262885771,-25.5951685830076,-4.81608655096265
5300,-2.10336346593197,-25.7060752096592,-25.1269957861452,-4.54512575015282
5333,-1.98736310314483,-25.0254756036589,-24.5040381267811,-4.0825132145686
5367,-1.83309272851807,-24.1959022725144,-23.8227089016782,-3.52805071870145
5400,-1.70466097545516,-23.5262512481387,-23.2245095663045,-3.08435166797155
5433,-1.63595273439426,-23.2006371114169,-22.8106525689499,-2.86400528826898
5467,-1.60526360691728,-23.1422398859811,-22.5948280797688,-2.79068046219854
5500,-1.57665727333899,-23.1769594117552,-22.5271458117251,-2.71724845962966
5533,-1.54036178318484,-23.2216967661496,-22.54467870784,-2.57800196585134
5567,-1.50960859533116,-23.2766074521881,-22.5983304126327,-2.39411997770634
5600,-1.49364507760579,-23.3432657637985,-22.6504439355299,-2.20016797216098
5633,-1.48813839068099,-23.3941931264829,-22.6677233260352,-2.0083258206266
5667,-1.48675045164154,-23.3817923736195,-22.6259163175958,-1.81773689452946
5700,-1.48643828531101,-23.2648230668425,-22.5225430750905,-1.63525883280009
5733,-1.47220025283801,-23.0667235210414,-22.3896108752964,-1.49617289899471
5767,-1.39940877266459,-22.9040345705343,-22.2907206875889,-1.4752758388856
5800,-1.21978122583123,-22.8755304079254,-22.2890562905368,-1.65064080114039
5833,-0.953356787045634,-22.952138716398,-22.4177872459317,-2.02779551812425
5867,-0.706561825731998,-23.0842436873013,-22.6922141044782,-2.52741333765026
5900,-0.580024203166463,-23.3685436599342,-23.1294498141536,-3.06348040133282
5933,-0.581618959619764,-23.946525416503,-23.7217185917245,-3.58232390498201
5967,-0.648207036514334,-24.7386707695353,-24.3952260817861,-4.02863027488316
6000,-0.721959935867627,-25.4723898885009,-25.0264592448312,-4.36742474682029
6033,-0.787200960036827,-25.9724326552061,-25.5108493661731,-4.63703966809871
6067,-0.843960407353576,-26.2408379184292,-25.810355500177,-4.88800108842548
6100,-0.859990785528352,-26.3215146157708,-25.9474874292917,-5.08888920963481
6133,-0.750115514734654,-26.2733341691973,-25.9827158694292,-5.14469820431669
6167,-0.412880031202651,-26.2353038986566,-25.9945431280643,-4.98007941902032
6200,0.175130151695469,-26.3635979680551,-26.0440978275921,-4.60826121210439
6233,0.887871783022269,-26.6593784536163,-26.1400876305927,-4.14362435153229
6267,1.50753622369777,-26.9324201483796,-26.2456307476874,-3.73632777442788
6300,1.88344013144445,-26.985766331331,-26.3269024228096,-3.48206202500778
6333,2.02619906423382,-26.839066045484,-26.4003893090161,-3.38498294006604
6367,2.04579379571666,-26.7561399272915,-26.5309812816412,-3.41340209986304
6400,2.03585718341059,-26.977771677161,-26.7676104543921,-3.56538475041917
6433,2.03180576189962,-27.4399497459245,-27.0795588808051,-3.83830019005563
6467,2.03706530584143,-27.8620265330508,-27.371474792763,-4.16746789836485
6500,2.04918423925105,-28.0476724620442,-27.5549361527506,-4.42297245461628
6533,2.06081484486874,-27.9981059104742,-27.6010019263311,-4.46896388527751
6567,2.04488563674077,-27.8290764471003,-27.5519343270315,-4.27976576028243
6600,1.94998201619263,-27.6991630773817,-27.5037711704,-4.02682574940174
6633,1.74153046116379,-27.7617057450604,-27.559243246056,-3.97881322398395
6667,1.45772234758641,-28.0734992820063,-27.7662569490475,-4.24096647909529
6700,1.19963480216912,-28.5408001542112,-28.0843071584127,-4.62955809163291
6733,1.05165239564364,-28.9713442969852,-28.409407537571,-4.86518920483635
6767,1.0204433840313,-29.2011225828567,-28.6438264683101,-4.84308917636903
6800,1.05853040419617,-29.2176863328435,-28.7490221153816,-4.66059663444193
6833,1.11937875606944,-29.1580282461104,-28.7350725359003,-4.45600492714077
6867,1.15896813641494,-29.1366924901611,-28.6140880124093,-4.29164210069267
6900,1.0964181189682,-29.0769204690419,-28.3779083397103,-4.15006866634889
6933,0.816364907067292,-28.7949029441386,-28.0286656068151,-4.0061405241063
6967,0.273331676810242,-28.2677829637485,-27.6319982431384,-3.90733165363924
7000,-0.410229786576483,-27.7415257638887,-27.324235413415,-3.9626228378976
7033,-1.03738018816144,-27.5441924040914,-27.2414184208056,-4.24163557356597
7067,-1.49838169077779,-27.8026682094689,-27.4272135882786,-4.69463205895905
7100,-1.77672092981702,-28.3478965086466,-27.8080349522554,-5.1669500585135
7133,-1.89569359931615,-28.8917918650242,-28.2514361103217,-5.50945940111865
7167,-1.90973530633869,-29.2792275330608,-28.646717093721,-5.67920225055301
7200,-1.88059078083899,-29.5464746783754,-28.9381027123281,-5.71173551228671
7233,-1.85043547260198,-29.7552625639604,-29.0995609945886,-5.63442682497688
7267,-1.85093192987575,-29.860148213155,-29.1104208117847,-5.45294876114625
7300,-1.91958203862439,-29.7533027193542,-28.9687721616194,-5.21302071622111
7333,-2.07683276188589,-29.3834809115147,-28.7147713121319,-5.02768459835114
7367,-2.26303572725179,-28.8514935129781,-28.4333097046637,-4.98015917130782
7400,-2.33843455197952,-28.3994293608296,-28.2254137554353,-5.01620129706556
7433,-2.21910300502637,-28.2479573433011,-28.1582720051622,-5.02395241477176
7467,-1.98285693904012,-28.4191752827274,-28.2285457595099,-4.99260737198762
7500,-1.77251578487823,-28.7241437098688,-28.3656554843308,-4.98125077387356
7533,-1.64884042844516,-28.9211755734092,-28.4765920199304,-4.98243384645432
7567,-1.5913808858611,-28.9060109852305,-28.5045727652501,-4.93523820634396
7600,-1.5704556841157,-28.7644530448287,-28.4470346603818,-4.83246751149954
7633,-1.56942962734246,-28.637939860501,-28.3183030712941,-4.71915444903843
7667,-1.57829823131193,-28.5356091927732,-28.1149419290808,-4.60006850041192
7700,-1.59185915839018,-28.3188792837207,-27.8345123417965,-4.42582196972477
7733,-1.60423399869344,-27.935182385397,-27.5236442167541,-4.18909168468925
7767,-1.59835465688613,-27.568168091658,-27.2827869864746,-3.97853802826968
7800,-1.5429696323244,-27.4425014655114,-27.1988050230854,-3.89580287808082
7833,-1.41856935536287,-27.5894066342893,-27.2701510058917,-3.9449091341285
7867,-1.25737965864142,-27.8539172400746,-27.3994403421553,-4.02615689436527
7900,-1.12473919551618,-28.0099496607323,-27.4510343790474,-4.00856935592834
7933,-1.05184703011585,-27.8742124146892,-27.3313585107093,-3.81538708732926
7967,-1.02313991970633,-27.4531358226493,-27.0483982808229,-3.49072356676289
8000,-1.01581020040378,-26.9800989420075,-26.6962074418256,-3.164524526503
8033,-1.01859560113252,-26.6771623556989,-26.364332510336,-2.92355863578198
8067,-1.02760958869993,-26.4992477675922,-26.0685369498381,-2.74926951838742
8100,-1.0394297793665,-26.2334527821748,-25.7822739586641,-2.5817950020607
8133,-1.04144218191306,-25.8171528714212,-25.5185351421504,-2.41555016099886
8167,-1.00453718962258,-25.4507020598895,-25.3497506651792,-2.32162500786421
8200,-0.896161946531712,-25.3867339637495,-25.3452839913656,-2.3731266254812
8233,-0.720076308951848,-25.6588577513457,-25.5037754241703,-2.56404008681759
8267,-0.533231108474861,-26.0584933069159,-25.7437676334885,-2.80842882863853
8300,-0.39422493009321,-26.3436066575918,-25.9541554970607,-2.99715826121646
8333,-0.311444612650456,-26.4062652134862,-26.0613079474478,-3.0657035988413
8367,-0.265065499191423,-26.2975449657715,-26.0614242077813,-3.041232276594
8400,-0.246226647787071,-26.1633537289944,-25.9968975821363,-3.00889052547893
8433,-0.253489608632481,-26.1053919466017,-25.9018968965497,-3.01630230648401
8467,-0.274963521076694,-26.0704248001703,-25.7678739135692,-3.02654796373032
8500,-0.288301885182073,-25.8999690759489,-25.560472723557,-2.96469435122859
8533,-0.281028586813895,-25.5164116886096,-25.2729606967176,-2.8109161370352
8567,-0.263565130779832,-25.0616852904866,-24.959996679114,-2.64083306285109
8600,-0.251461401658232,-24.7759809987589,-24.7069867280055,-2.54709346020302
8633,-0.246531151051948,-24.7385490271047,-24.5636391397549,-2.53607754723568
8667,-0.240571494575438,-24.8294080288172,-24.5122668969098,-2.53513715411122
8700,-0.226814053251326,-24.8996547419418,-24.494679138495,-2.47364716554634
8733,-0.207055065979683,-24.8828132552506,-24.4606862485102,-2.33127139581123
8767,-0.189167552430163,-24.7919825834558,-24.3958703022883,-2.13727790193485
8800,-0.178774710219771,-24.6873278561369,-24.3161807703319,-1.94356936919048
8833,-0.178338468344294,-24.63884824837,-24.2454597633812,-1.79235335331015
8867,-0.18740104683723,-24.6625768391827,-24.196609931227,-1.70083964719468
8900,-0.188215749840517,-24.6873820910604,-24.1664352317602,-1.66529418747912
8933,-0.135623464332422,-24.6372569335748,-24.1513305530467,-1.66670771090296
8967,0.021687372802336,-24.5473233870233,-24.1713868455553,-1.67388575747691
9000,0.301959861463499,-24.5590160042579,-24.2695512471659,-1.67064345943578
9033,0.656785407480637,-24.8000155765892,-24.4774002746376,-1.69012716879425
9067,0.977573130450992,-25.2560873608779,-24.7745724009595,-1.77363566197304
9100,1.17387128933893,-25.7207842090353,-25.0800762004483,-1.87576208795103
9133,1.24589940130708,-25.9293004214218,-25.2959155524949,-1.88278307461966
9167,1.25451244320594,-25.8247986550865,-25.3736614730136,-1.76394545644492
9200,1.24723995262027,-25.6255997218365,-25.3401685007071,-1.62762052207464
9233,1.23888949723482,-25.5566374591089,-25.2531921649987,-1.58499672047303
9267,1.23479447521401,-25.5867524224128,-25.1381956815941,-1.61936053539375
9300,1.2375928653795,-25.5063187135886,-24.9825082463882,-1.6252839925608
9333,1.2272665591874,-25.2083773777986,-24.7882600595678,-1.55913523602708
9367,1.15022985582867,-24.8158748906513,-24.6132658717475,-1.53847794187428
9400,0.950901502114954,-24.5740270247381,-24.546963920566,-1.76884249822048
9433,0.640587550741788,-24.6517041725874,-24.6402069159535,-2.32487964152119
9467,0.324422098445313,-24.9979903010899,-24.8597508190914,-3.00708027329557
9500,0.116926946167024,-25.3820476736614,-25.115742448963,-3.49259471692762
9533,0.0421616729517282,-25.5992319415829,-25.3321949476029,-3.63733821500844
9567,0.0459062297165174,-25.6488513557293,-25.493338189631,-3.5592858238087
9600,0.0668726737974244,-25.6917465432081,-25.6313151944118,-3.45935447180421
9633,0.0672818331984431,-25.8433134247407,-25.7775868302078,-3.45603736575873
9667,0.0299201311367111,-26.0772109816554,-25.9341473998233,-3.56431989654122
9700,-0.0434015545226246,-26.3111367498473,-26.0868514906881,-3.73926601663775
9733,-0.131571626708168,-26.4908554034542,-26.2268397169316,-3.9166005238682
9767,-0.194194236570251,-26.5998438543298,-26.3556549896776,-4.03598148207375
9800,-0.192994996386202,-26.6723137899783,-26.4813418397073,-4.05442617551691
9833,-0.149999128990666,-26.8052779413008,-26.6030748830074,-3.97494505573181
9867,-0.143142104602397,-27.0658921323349,-26.6867693022199,-3.85639231829925
9900,-0.197161962857381,-27.3495815253359,-26.6621067989642,-3.73411689188536
9933,-0.247166513001364,-27.421134069042,-26.4632034631512,-3.55489138003679
9967,-0.238469227319064,-27.1549979019495,-26.0962374169991,-3.28193470452479
10000,-0.191748017756238,-26.6987301247402,-25.6711878128724,-3.01395131499716
10033,-0.162962745279006,-26.3693928463819,-25.3389150635793,-2.90704464628627
10067,-0.183933183816714,-26.3740202287829,-25.1826738044264,-3.01989337919024
10100,-0.24234453786543,-26.6345527056268,-25.1781952735886,-3.27131696549366
10133,-0.30170995156851,-26.8990751255094,-25.238064470301,-3.51944586588932
10167,-0.336389426064615,-26.9811971729105,-25.2758760610135,-3.68107781004511
10200,-0.346405967982592,-26.8827970140325,-25.2640912576533,-3.78562921903609
10233,-0.344775723026632,-26.7542301522531,-25.2561397176595,-3.9144461153978
10267,-0.341851944817217,-26.7614813048557,-25.3275002945287,-4.1060360942775
10300,-0.340903595597932,-26.9480871199181,-25.4914643135383,-4.32442160334695
10333,-0.340157701927583,-27.1856082042589,-25.6919550363589,-4.50068396090242
10367,-0.33614981938169,-27.3030813731198,-25.8695853297142,-4.60136096564007
10400,-0.328242885524005,-27.2913979304469,-26.0114082095161,-4.650672160606
10433,-0.325409134427737,-27.2787585173367,-26.1264079777089,-4.67831763560883
10467,-0.351942436192099,-27.2965365838797,-26.1879006218267,-4.66239120934132
10500,-0.438432983671407,-27.2130157041782,-26.1205680558735,-4.53823932375849
10533,-0.585421141539267,-26.907593322048,-25.8427966950157,-4.25464109686149
10567,-0.736223487790905,-26.3761634465379,-25.3206553343629,-3.82844887886732
10600,-0.819485774932039,-25.6679871613181,-24.6048736620641,-3.36857493866967
10633,-0.82120218225567,-24.8802244788503,-23.8450119953513,-3.03853390252123
